target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
8,50,1,0.5,0.778,0.4197,0.8842,0.0067,0.026,64,93.3,61.3,19.8
8,50,2,0.5,0.778,0.4332,0.7832,0.0269,0.1214,140,56.9,57.5,14.4
8,50,3,0.5,0.778,0.4248,0.8194,0.0041,0.0271,62,68.6,59.9,17.3
8,50,4,0.5,0.778,0.4657,0.8118,0.0034,0.0624,120,35.5,57.3,13.8
8,50,5,0.5,0.778,0.4794,0.8237,0.0087,0.061,207,32.5,59.4,17.5
9,50,1,0.794,0.778,0.7557,0.8085,0.0074,0.0338,91,37.4,60.1,19.5
9,50,2,0.794,0.778,0.7344,0.7298,0.0142,0.0408,141,58.3,60.8,16.7
9,50,3,0.794,0.778,0.7882,0.8351,0.0283,0.1023,270,34.6,61.4,18.8
9,50,4,0.794,0.778,0.8031,0.8405,0.0143,0.0549,110,38.3,56.8,15.6
9,50,5,0.794,0.778,0.8048,0.898,0.0088,0.0527,147,72.6,59.1,15.7
